obs:Observed
clim:Ensemble Mean Climatology
sprd:Ensemble Standard Deviation
mean:Ensemble Mean
ens01:Member  1
ens02:Member  2
ens03:Member  3
ens04:Member  4
ens05:Member  5
ens06:Member  6
ens07:Member  7
ens08:Member  8
ens09:Member  9
ens10:Member 10
ens11:Member 11
ens12:Member 12
ens13:Member 13
ens14:Member 14
ens15:Member 15
ens16:Member 16
ens17:Member 17
ens18:Member 18
ens19:Member 19
ens20:Member 20
ens21:Member 21
ens22:Member 22
ens23:Member 23
ens24:Member 24
ens25:Member 25
ens26:Member 26
ens27:Member 27
ens28:Member 28
ens29:Member 29
ens30:Member 30
ens31:Member 31
ens32:Member 32
ens33:Member 33
ens34:Member 34
ens35:Member 35
ens36:Member 36
ens37:Member 37
ens38:Member 38
ens39:Member 39
ens40:Member 40
ens41:Member 41
ens42:Member 42
ens43:Member 43
ens44:Member 44
ens45:Member 45
ens46:Member 46
ens47:Member 47
ens48:Member 48
ens49:Member 49
ens50:Member 50
